,BusinessName,DateOfInspection,FullAddress,HealthFacilityIDNumber,InspectionIDNumber,InspectionScore,InspectionType,Latitude,Longitude
15647,LEANING TOWER OF PIZZA,11/18/2019,2324 LYNDALE AVE S,LIC33449,279820,100,Routine,44.95927,-93.28846
15650,VEGAN EAST,10/26/2018,2409 LYNDALE AVE S,LIC370767,268964,96,Routine,44.95872,-93.2876
15653,VEGAN EAST,10/23/2019,2409 LYNDALE AVE S,LIC370767,277246,100,Routine,44.95872,-93.2876
15658,EL JEFE REDEFINING MEXICAN CUISINE,09/19/2017,5309 LYNDALE AVE S,LIC351289,203713,96,Routine,44.90616,-93.28761
15662,EL JEFE REDEFINING MEXICAN CUISINE,09/28/2018,5309 LYNDALE AVE S,LIC351289,226775,100,Routine,44.90616,-93.28761
15663,EL JEFE REDEFINING MEXICAN CUISINE,08/01/2019,5309 LYNDALE AVE S,LIC351289,274046,100,Routine,44.90616,-93.28761
15664,EL JEFE COZINA & BAR,06/12/2018,5309 LYNDALE AVE S,LIC364645,247308,90,Routine,44.90616,-93.28761
15675,EL JEFE COZINA & BAR,06/12/2019,5309 LYNDALE AVE S,LIC364645,252929,84,Routine,44.90616,-93.28761
15689,EL JEFE COZINA & BAR,08/07/2018,5309 LYNDALE AVE S,LIC364645,252930,98,Follow-Up,44.90616,-93.28761
15693,EL JEFE COZINA & BAR,07/23/2019,5309 LYNDALE AVE S,LIC364645,313817,98,Follow-Up,44.90616,-93.28761
15699,TOSCA /TURTLE BREAD,02/27/2017,3421 44TH ST W,LIC38206,36938,84,Routine,44.92309,-93.32369
15715,TOSCA /TURTLE BREAD,03/13/2018,3421 44TH ST W,LIC38206,191487,82,Routine,44.92309,-93.32369
15743,TOSCA /TURTLE BREAD,03/29/2019,3421 44TH ST W,LIC38206,246335,98,Routine,44.92309,-93.32369
15747,TOSCA /TURTLE BREAD,05/02/2018,3421 44TH ST W,LIC38206,246336,92,Follow-Up,44.92309,-93.32369
15758,TOSCA /TURTLE BREAD,06/22/2018,3421 44TH ST W,LIC38206,249103,88,Follow-Up,44.92309,-93.32369
15770,TOSCA /TURTLE BREAD,08/17/2018,3421 44TH ST W,LIC38206,253370,100,Follow-Up,44.92309,-93.32369
15774,TAQUERIA LOS OCAMPO,06/20/2017,920 LAKE ST E #152,LIC53453,64527,96,Routine,44.94931,-93.26076
15784,TAQUERIA LOS OCAMPO,06/15/2018,920 LAKE ST E #152,LIC53453,201885,98,Routine,44.94931,-93.26076
15792,TAQUERIA LOS OCAMPO,07/19/2017,920 LAKE ST E #152,LIC53453,201886,96,Follow-Up,44.94931,-93.26076
15796,TAQUERIA LOS OCAMPO,06/18/2019,920 LAKE ST E #152,LIC53453,252795,100,Routine,44.94931,-93.26076
15797,TAQUERIA LOS OCAMPO,07/10/2018,920 LAKE ST E #152,LIC53453,252796,98,Follow-Up,44.94931,-93.26076
15800,BROADWAY STATION,07/20/2017,2025 WEST RIVER RD N,LIC47379,52373,96,Routine,44.99979,-93.27788
15807,BROADWAY STATION,08/06/2018,2025 WEST RIVER RD N,LIC47379,207391,100,Routine,44.99979,-93.27788
15810,BROADWAY STATION,08/18/2017,2025 WEST RIVER RD N,LIC47379,207392,100,Follow-Up,44.99979,-93.27788
15814,BROADWAY STATION,07/31/2019,2025 WEST RIVER RD N,LIC47379,262134,84,Routine,44.99979,-93.27788
15824,BROADWAY STATION,09/18/2019,2025 WEST RIVER RD N,LIC47379,320015,100,Follow-Up,44.99979,-93.27788
15827,HIBACHI BUFFET,09/06/2017,111 LAKE ST E,LIC33116,180597,86,Routine,44.94791,-93.27628
15848,HIBACHI BUFFET,03/21/2017,111 LAKE ST E,LIC33116,190605,100,Follow-Up,44.94791,-93.27628
15859,HIBACHI BUFFET,04/25/2017,111 LAKE ST E,LIC33116,193211,100,Follow-Up,44.94791,-93.27628
15865,HIBACHI BUFFET,03/13/2018,111 LAKE ST E,LIC33116,225304,92,Routine,44.94791,-93.27628
15880,HIBACHI BUFFET,11/07/2017,111 LAKE ST E,LIC33116,225305,96,Follow-Up,44.94791,-93.27628
15883,HIBACHI BUFFET,12/18/2018,111 LAKE ST E,LIC33116,245940,88,Routine,44.94791,-93.27628
15897,HIBACHI BUFFET,05/10/2018,111 LAKE ST E,LIC33116,245941,96,Follow-Up,44.94791,-93.27628
15903,HIBACHI BUFFET,12/18/2019,111 LAKE ST E,LIC33116,286552,84,Routine,44.94791,-93.27628
15915,HIBACHI BUFFET,03/05/2019,111 LAKE ST E,LIC33116,286553,100,Follow-Up,44.94791,-93.27628
15916,MANNINGS CAFE,12/05/2017,2200 COMO AVE SE,LIC48789,124125,80,Routine,44.98765,-93.22115
15926,MANNINGS CAFE,04/28/2017,2200 COMO AVE SE,LIC48789,124126,96,Follow-Up,44.98765,-93.22115
15930,MANNINGS CAFE,12/18/2018,2200 COMO AVE SE,LIC48789,234672,74,Routine,44.98765,-93.22115
15943,MANNINGS CAFE,01/24/2018,2200 COMO AVE SE,LIC48789,234673,98,Follow-Up,44.98765,-93.22115
15949,MANNINGS CAFE,12/18/2019,2200 COMO AVE SE,LIC48789,286271,86,Routine,44.98765,-93.22115
15958,MANNINGS CAFE,02/25/2019,2200 COMO AVE SE,LIC48789,286272,92,Follow-Up,44.98765,-93.22115
15965,MANNINGS CAFE,04/19/2019,2200 COMO AVE SE,LIC48789,301018,94,Follow-Up,44.98765,-93.22115
15971,MANNINGS CAFE,05/01/2019,2200 COMO AVE SE,LIC48789,308802,100,Follow-Up,44.98765,-93.22115
15972,BANANA BLOSSOM,04/14/2017,1724 LOWRY AVE N,LIC31938,25177,62,Routine,45.01346,-93.30162
15993,BANANA BLOSSOM,05/01/2018,1724 LOWRY AVE N,LIC31938,196461,90,Routine,45.01346,-93.30162
16005,BANANA BLOSSOM,06/06/2017,1724 LOWRY AVE N,LIC31938,196462,86,Follow-Up,45.01346,-93.30162
16013,BANANA BLOSSOM,08/15/2017,1724 LOWRY AVE N,LIC31938,200895,100,Follow-Up,45.01346,-93.30162
16017,BANANA BLOSSOM,05/14/2019,1724 LOWRY AVE N,LIC31938,249096,84,Routine,45.01346,-93.30162
16031,BANANA BLOSSOM,06/06/2018,1724 LOWRY AVE N,LIC31938,249097,96,Follow-Up,45.01346,-93.30162
16038,BANANA BLOSSOM,06/25/2019,1724 LOWRY AVE N,LIC31938,310485,92,Follow-Up,45.01346,-93.30162
16073,REVERIE MOBILE KITCHEN,09/03/2019,3500 BLOOMINGTON AVE,LIC381195,315196,92,Routine,44.93937,-93.25268
16085,CONEXION AT OPEN BOOK,02/22/2017,1011 WASHINGTON AVE S,LIC39871,38708,100,Routine,44.97542,-93.25421
16088,CONEXION AT OPEN BOOK,02/28/2018,1011 WASHINGTON AVE S,LIC39871,191093,96,Routine,44.97542,-93.25421
16090,CONEXION AT OPEN BOOK,02/28/2019,1011 WASHINGTON AVE S,LIC39871,245927,100,Routine,44.97542,-93.25421
16093,SOL TAQUERIA,05/23/2019,5447 NICOLLET AVE,LIC374796,305033,82,Routine,44.90363,-93.27773
16103,SOL TAQUERIA,06/27/2019,5447 NICOLLET AVE,LIC374796,311561,96,Follow-Up,44.90363,-93.27773
16108,TONY JAROS' RIVER GARDENS,02/02/2017,2500 MARSHALL ST NE,LIC38130,36773,96,Routine,45.01329,-93.27247
16114,TONY JAROS' RIVER GARDENS,12/15/2017,2500 MARSHALL ST NE,LIC38130,189795,96,Routine,45.01329,-93.27247
16117,TONY JAROS' RIVER GARDENS,12/24/2018,2500 MARSHALL ST NE,LIC38130,236376,96,Routine,45.01329,-93.27247
16123,TONY JAROS' RIVER GARDENS,12/24/2019,2500 MARSHALL ST NE,LIC38130,286128,88,Routine,45.01329,-93.27247
16132,TONY JAROS' RIVER GARDENS,01/07/2020,2500 MARSHALL ST NE,LIC38130,340183,100,Follow-Up,45.01329,-93.27247
16155,BURRITO LOCO,04/04/2017,418 13TH AVE SE,LIC50777,59679,76,Routine,44.9815,-93.23648
16173,BURRITO LOCO,04/18/2018,418 13TH AVE SE,LIC50777,194488,80,Routine,44.9815,-93.23648
16192,BURRITO LOCO,05/09/2017,418 13TH AVE SE,LIC50777,194489,94,Follow-Up,44.9815,-93.23648
16200,BURRITO LOCO,07/06/2017,418 13TH AVE SE,LIC50777,198290,94,Follow-Up,44.9815,-93.23648
16207,BURRITO LOCO,04/30/2019,418 13TH AVE SE,LIC50777,248880,86,Routine,44.9815,-93.23648
16225,BURRITO LOCO,06/04/2018,418 13TH AVE SE,LIC50777,248881,92,Follow-Up,44.9815,-93.23648
16238,BURRITO LOCO,07/16/2018,418 13TH AVE SE,LIC50777,252196,94,Follow-Up,44.9815,-93.23648
16247,BURRITO LOCO,09/07/2018,418 13TH AVE SE,LIC50777,254723,98,Follow-Up,44.9815,-93.23648
16255,BURRITO LOCO,06/14/2019,418 13TH AVE SE,LIC50777,309918,92,Follow-Up,44.9815,-93.23648
16263,SABBAI CUISINE EXPRESS,02/21/2017,920 LAKE ST E #114,LIC49627,57122,96,Routine,44.94931,-93.26076
16266,SABBAI CUISINE EXPRESS,02/14/2018,920 LAKE ST E #114,LIC49627,191229,90,Routine,44.94931,-93.26076
16274,SABBAI CUISINE EXPRESS,02/04/2019,920 LAKE ST E #114,LIC49627,243018,92,Routine,44.94931,-93.26076
16282,SABBAI CUISINE EXPRESS,03/16/2018,920 LAKE ST E #114,LIC49627,243019,100,Follow-Up,44.94931,-93.26076
16283,EAST LAKE LIQUOR & DELI,10/18/2017,3916 LAKE ST E,LIC28733,19898,100,Routine,44.94863,-93.21564
16285,EAST LAKE LIQUOR & DELI,10/18/2019,3916 LAKE ST E,LIC28733,230557,100,Routine,44.94863,-93.21564
16286,EL NORTENO MARKET & DELI,10/31/2017,4000 LAKE ST E,LIC32678,26497,96,Routine,44.94859,-93.21503
16293,EL NORTENO MARKET & DELI,11/13/2018,4000 LAKE ST E,LIC32678,232481,90,Routine,44.94859,-93.21503
16299,EL NORTENO MARKET & DELI,12/27/2017,4000 LAKE ST E,LIC32678,232482,98,Follow-Up,44.94859,-93.21503
16304,EL NORTENO MARKET & DELI,11/13/2019,4000 LAKE ST E,LIC32678,279493,92,Routine,44.94859,-93.21503
16311,EL NORTENO MARKET & DELI,11/14/2018,4000 LAKE ST E,LIC32678,279494,94,Follow-Up,44.94859,-93.21503
16316,TEPPANYAKI GRILL & SUPREME BUFFET,06/07/2017,2216 LAKE ST E,LIC30551,23569,84,Routine,44.94937,-93.24092
16344,TEPPANYAKI GRILL & SUPREME BUFFET,07/05/2018,2216 LAKE ST E,LIC30551,201199,72,Routine,44.94937,-93.24092
16364,TEPPANYAKI GRILL & SUPREME BUFFET,08/07/2017,2216 LAKE ST E,LIC30551,201200,90,Follow-Up,44.94937,-93.24092
16376,TEPPANYAKI GRILL & SUPREME BUFFET,09/25/2017,2216 LAKE ST E,LIC30551,214000,100,Follow-Up,44.94937,-93.24092
16378,TEPPANYAKI GRILL & SUPREME BUFFET,07/31/2019,2216 LAKE ST E,LIC30551,254220,74,Routine,44.94937,-93.24092
16403,TEPPANYAKI GRILL & SUPREME BUFFET,08/07/2018,2216 LAKE ST E,LIC30551,254221,92,Follow-Up,44.94937,-93.24092
16410,TEPPANYAKI GRILL & SUPREME BUFFET,08/09/2018,2216 LAKE ST E,LIC30551,262136,100,Follow-Up,44.94937,-93.24092
16412,TEPPANYAKI GRILL & SUPREME BUFFET,09/30/2019,2216 LAKE ST E,LIC30551,319966,90,Follow-Up,44.94937,-93.24092
16420,TEPPANYAKI GRILL & SUPREME BUFFET,11/27/2019,2216 LAKE ST E,LIC30551,330678,98,Follow-Up,44.94937,-93.24092
16425,DUSTYS BAR,09/08/2017,1319 MARSHALL ST NE,LIC352508,203738,96,Routine,45.0009,-93.26983
16428,DUSTYS BAR,09/07/2018,1319 MARSHALL ST NE,LIC352508,224889,100,Routine,45.0009,-93.26983
16432,DUSTYS BAR,09/06/2019,1319 MARSHALL ST NE,LIC352508,274265,96,Routine,45.0009,-93.26983
16435,"EL NUEVO RODEO, PARAISO LOUNGE, 27 EVENT",01/11/2017,2709 LAKE ST E,LIC32690,26553,86,Routine,44.94811,-93.23272
16446,"EL NUEVO RODEO, PARAISO LOUNGE, 27 EVENT",02/12/2018,2709 LAKE ST E,LIC32690,181437,90,Routine,44.94811,-93.23272
16462,"EL NUEVO RODEO, PARAISO LOUNGE, 27 EVENT",03/31/2017,2709 LAKE ST E,LIC32690,190608,98,Follow-Up,44.94811,-93.23272
16464,"EL NUEVO RODEO, PARAISO LOUNGE, 27 EVENT",03/05/2019,2709 LAKE ST E,LIC32690,243020,96,Routine,44.94811,-93.23272
16474,"EL NUEVO RODEO, PARAISO LOUNGE, 27 EVENT",04/06/2018,2709 LAKE ST E,LIC32690,243021,90,Follow-Up,44.94811,-93.23272
16482,"EL NUEVO RODEO, PARAISO LOUNGE, 27 EVENT",06/08/2018,2709 LAKE ST E,LIC32690,247576,94,Follow-Up,44.94811,-93.23272
16486,TACOS EL PRIMO,07/17/2018,4751 NICOLLET AVE,LIC350634,202607,100,Routine,44.9163,-93.27759
16491,TACOS EL PRIMO,08/09/2019,4751 NICOLLET AVE,LIC350634,254878,100,Routine,44.9163,-93.27759
16496,C&G'S SMOKING BBQ,06/19/2018,4743 NICOLLET AVE,LIC357419,214823,84,Routine,44.9163,-93.27759
16514,C&G'S SMOKING BBQ,06/19/2019,4743 NICOLLET AVE,LIC357419,254177,84,Routine,44.9163,-93.27759
16526,C&G'S SMOKING BBQ,08/02/2018,4743 NICOLLET AVE,LIC357419,254178,96,Follow-Up,44.9163,-93.27759
16535,C&G'S SMOKING BBQ,10/11/2018,4743 NICOLLET AVE,LIC357419,262459,100,Follow-Up,44.9163,-93.27759
16540,C&G'S SMOKING BBQ,07/26/2019,4743 NICOLLET AVE,LIC357419,314015,100,Follow-Up,44.9163,-93.27759
16542,TACOS EL PRIMO,09/14/2017,4741 NICOLLET AVE,LIC46066,50210,96,Routine,44.9163,-93.27759
16547,TACOS EL PRIMO,06/30/2018,4741 NICOLLET AVE,LIC46066,225634,92,Routine,44.9163,-93.27759
16552,TACOS EL PRIMO,07/16/2019,4741 NICOLLET AVE,LIC46066,253800,100,Routine,44.9163,-93.27759
16554,TACOS EL PRIMO,07/18/2018,4741 NICOLLET AVE,LIC46066,253801,100,Follow-Up,44.9163,-93.27759
16557,VALENTINO CAFE,06/06/2017,900 2ND AVE S,LIC46272,50559,98,Routine,44.9737,-93.27186
16564,VALENTINO CAFE,06/12/2018,900 2ND AVE S,LIC46272,201298,86,Routine,44.9737,-93.27186
16572,VALENTINO CAFE,07/05/2017,900 2ND AVE S,LIC46272,201299,96,Follow-Up,44.9737,-93.27186
16576,VALENTINO CAFE,06/11/2019,900 2ND AVE S,LIC46272,252596,86,Routine,44.9737,-93.27186
16583,VALENTINO CAFE,07/17/2018,900 2ND AVE S,LIC46272,252597,100,Follow-Up,44.9737,-93.27186
16586,VALENTINO CAFE,07/08/2019,900 2ND AVE S,LIC46272,313668,96,Follow-Up,44.9737,-93.27186
16590,GREENFIELD NATURAL KITCHEN,09/13/2017,120 6TH ST S,LIC28847,20155,90,Routine,44.97736,-93.26875
16594,GREENFIELD NATURAL KITCHEN,09/17/2018,120 6TH ST S,LIC28847,225886,98,Routine,44.97736,-93.26875
16597,GREENFIELD NATURAL KITCHEN,11/02/2017,120 6TH ST S,LIC28847,225887,100,Follow-Up,44.97736,-93.26875
16598,GREENFIELD NATURAL KITCHEN,09/11/2019,120 6TH ST S,LIC28847,271962,88,Routine,44.97736,-93.26875
16608,GREENFIELD NATURAL KITCHEN,10/21/2019,120 6TH ST S,LIC28847,329211,100,Follow-Up,44.97736,-93.26875
16612,GREEK GRILL & CAFE,08/29/2017,625 MARQUETTE AVE #236,LIC25252,12844,90,Routine,44.97642,-93.27017
16623,GREEK GRILL & CAFE,08/29/2018,625 MARQUETTE AVE #236,LIC25252,222909,100,Routine,44.97642,-93.27017
16634,GREEK GRILL & CAFE,10/23/2017,625 MARQUETTE AVE #236,LIC25252,222910,100,Follow-Up,44.97642,-93.27017
16641,GREEK GRILL & CAFE,08/22/2019,625 MARQUETTE AVE #236,LIC25252,269138,82,Routine,44.97642,-93.27017
16653,GREEK GRILL & CAFE,10/21/2019,625 MARQUETTE AVE #236,LIC25252,325819,92,Follow-Up,44.97642,-93.27017
16661,LISTO! FRESH MEXICAN GRILL,05/22/2018,1730 NEW BRIGHTON BLVD,LIC363549,245839,90,Routine,45.00562,-93.22787
16669,LISTO! FRESH MEXICAN GRILL,11/20/2019,1730 NEW BRIGHTON BLVD,LIC363549,251232,90,Routine,45.00562,-93.22787
16678,LISTO! FRESH MEXICAN GRILL,06/27/2018,1730 NEW BRIGHTON BLVD,LIC363549,251233,92,Follow-Up,45.00562,-93.22787
16683,LISTO! FRESH MEXICAN GRILL,12/18/2019,1730 NEW BRIGHTON BLVD,LIC363549,337553,98,Follow-Up,45.00562,-93.22787
16707,CAPITAL CAFE,11/12/2019,2425 FRANKLIN AVE E,LIC382358,329360,88,Routine,44.96248,-93.23692
16717,CAPITAL CAFE,01/02/2020,2425 FRANKLIN AVE E,LIC382358,337340,90,Follow-Up,44.96248,-93.23692
16722,EL BURRITO CUBANO,01/25/2017,4729 LYNDALE AVE N,LIC32607,26368,56,Routine,45.04112,-93.28709
16754,EL BURRITO CUBANO,03/01/2018,4729 LYNDALE AVE N,LIC32607,190983,96,Routine,45.04112,-93.28709
16764,EL BURRITO CUBANO,03/05/2019,4729 LYNDALE AVE N,LIC32607,245391,96,Routine,45.04112,-93.28709
16769,FIRE BOX DELI,10/04/2017,4707 LYNDALE AVE N,LIC40342,39443,80,Routine,45.04058,-93.28734
16780,FIRE BOX DELI,10/16/2018,4707 LYNDALE AVE N,LIC40342,229350,100,Routine,45.04058,-93.28734
16784,FIRE BOX DELI,11/17/2017,4707 LYNDALE AVE N,LIC40342,229351,98,Follow-Up,45.04058,-93.28734
16787,FIRE BOX DELI,10/16/2019,4707 LYNDALE AVE N,LIC40342,276375,100,Routine,45.04058,-93.28734
16790,LAO SZE CHUAN,01/03/2019,304 OAK ST SE,LIC372484,274988,88,Routine,44.97333,-93.22759
16800,LAO SZE CHUAN,01/02/2020,304 OAK ST SE,LIC372484,286917,86,Routine,44.97333,-93.22759
16808,LAO SZE CHUAN,02/13/2019,304 OAK ST SE,LIC372484,286918,96,Follow-Up,44.97333,-93.22759
16812,CEDAR INN,11/21/2017,4155 CEDAR AVE S,LIC28322,123781,98,Routine,44.92713,-93.24694
16823,CEDAR INN,11/29/2018,4155 CEDAR AVE S,LIC28322,234712,96,Routine,44.92713,-93.24694
16836,CEDAR INN,02/22/2018,4155 CEDAR AVE S,LIC28322,234713,98,Follow-Up,44.92713,-93.24694
16840,CEDAR INN,11/21/2019,4155 CEDAR AVE S,LIC28322,280565,92,Routine,44.92713,-93.24694
16850,CEDAR INN,02/19/2019,4155 CEDAR AVE S,LIC28322,280566,98,Follow-Up,44.92713,-93.24694
16855,HABANERO TACOS,06/04/2019,3223 LAKE ST E,LIC370537,303524,92,Routine,44.94809,-93.22467
16864,PRIETO,08/08/2019,701 LAKE ST W,LIC378470,313343,92,Routine,44.94814,-93.28838
16873,STUB & HERBS,07/26/2017,227 OAK ST SE,LIC41970,42793,88,Routine,44.97383,-93.22682
16885,STUB & HERBS,07/24/2018,227 OAK ST SE,LIC41970,207355,96,Routine,44.97383,-93.22682
16892,STUB & HERBS,08/23/2017,227 OAK ST SE,LIC41970,207356,80,Follow-Up,44.97383,-93.22682
16906,STUB & HERBS,09/29/2017,227 OAK ST SE,LIC41970,221012,82,Follow-Up,44.97383,-93.22682
16920,STUB & HERBS,07/24/2019,227 OAK ST SE,LIC41970,256644,82,Routine,44.97383,-93.22682
16935,STUB & HERBS,09/11/2018,227 OAK ST SE,LIC41970,256645,100,Follow-Up,44.97383,-93.22682
16938,STUB & HERBS,09/23/2019,227 OAK ST SE,LIC41970,319985,78,Follow-Up,44.97383,-93.22682
16952,STUB & HERBS,01/01/2020,227 OAK ST SE,LIC41970,331043,96,Follow-Up,44.97383,-93.22682
16958,KADAI INDIAN KITCHEN,07/19/2017,601 MARQUETTE AVE #200,LIC51974,61638,78,Routine,44.97686,-93.26995
16982,KADAI INDIAN KITCHEN,08/01/2018,601 MARQUETTE AVE #200,LIC51974,205260,68,Routine,44.97686,-93.26995
17006,KADAI INDIAN KITCHEN,09/12/2017,601 MARQUETTE AVE #200,LIC51974,205261,92,Follow-Up,44.97686,-93.26995
17016,KADAI INDIAN KITCHEN,11/09/2017,601 MARQUETTE AVE #200,LIC51974,225339,98,Follow-Up,44.97686,-93.26995
17019,KADAI INDIAN KITCHEN,07/30/2019,601 MARQUETTE AVE #200,LIC51974,260742,78,Routine,44.97686,-93.26995
17042,KADAI INDIAN KITCHEN,09/20/2018,601 MARQUETTE AVE #200,LIC51974,260743,92,Follow-Up,44.97686,-93.26995
17049,KADAI INDIAN KITCHEN,09/03/2019,601 MARQUETTE AVE #200,LIC51974,318644,100,Follow-Up,44.97686,-93.26995
17089,CAFE PATTEEN,07/24/2017,920 2ND AVE S,LIC51015,60156,96,Routine,44.97325,-93.2721
17095,CAFE PATTEEN,02/11/2019,920 2ND AVE S,LIC51015,209017,96,Routine,44.97325,-93.2721
17098,TABERNA,10/11/2019,3126 LAKE ST W,LIC377576,323775,98,Routine,44.94939,-93.31944
17100,PEOPLES ORGANIC COFFEE & WINE,08/24/2017,3001 HENNEPIN AVE #1175,LIC30084,22611,88,Routine,44.94743,-93.29732
17118,PEOPLES ORGANIC COFFEE & WINE,09/13/2018,3001 HENNEPIN AVE #1175,LIC30084,224166,72,Routine,44.94743,-93.29732
17138,PEOPLES ORGANIC COFFEE & WINE,10/12/2017,3001 HENNEPIN AVE #1175,LIC30084,224167,88,Follow-Up,44.94743,-93.29732
17149,PEOPLES ORGANIC COFFEE & WINE,11/07/2017,3001 HENNEPIN AVE #1175,LIC30084,228848,94,Follow-Up,44.94743,-93.29732
17153,PEOPLES ORGANIC COFFEE & WINE,09/13/2019,3001 HENNEPIN AVE #1175,LIC30084,272063,92,Routine,44.94743,-93.29732
17159,PEOPLES ORGANIC COFFEE & WINE,10/29/2018,3001 HENNEPIN AVE #1175,LIC30084,272064,94,Follow-Up,44.94743,-93.29732
17167,PEOPLES ORGANIC COFFEE & WINE,11/30/2018,3001 HENNEPIN AVE #1175,LIC30084,278086,100,Follow-Up,44.94743,-93.29732
17168,FLAMIN THAI,12/07/2018,233 CEDAR AVE S,LIC373186,276704,100,Routine,44.97281,-93.24644
17171,FLAMIN THAI,12/05/2019,233 CEDAR AVE S,LIC373186,281195,96,Routine,44.97281,-93.24644
17177,STANDISH CAFE,12/11/2018,2403 38TH ST E,LIC372482,272880,80,Routine,44.93397,-93.2368
17184,STANDISH CAFE,12/18/2019,2403 38TH ST E,LIC372482,281573,92,Routine,44.93397,-93.2368
17195,STANDISH CAFE,01/17/2019,2403 38TH ST E,LIC372482,281574,94,Follow-Up,44.93397,-93.2368
17200,LITTLE TIJUANA CAFE,11/16/2017,17 26TH ST E,LIC36948,124448,100,Routine,44.95533,-93.27711
17204,LITTLE TIJUANA CAFE,12/05/2018,17 26TH ST E,LIC36948,233141,100,Routine,44.95533,-93.27711
17206,LITTLE TIJUANA CAFE,12/11/2019,17 26TH ST E,LIC36948,281041,92,Routine,44.95533,-93.27711
17210,CARBONES PIZZA ON THE PARKWAY,02/09/2017,4705 CEDAR AVE S,LIC24555,11642,98,Routine,44.91756,-93.2469
17220,CARBONES PIZZA ON THE PARKWAY,02/22/2018,4705 CEDAR AVE S,LIC24555,190129,90,Routine,44.91756,-93.2469
17231,CARBONES PIZZA ON THE PARKWAY,03/04/2019,4705 CEDAR AVE S,LIC24555,244904,94,Routine,44.91756,-93.2469
17240,CARBONES PIZZA ON THE PARKWAY,04/04/2018,4705 CEDAR AVE S,LIC24555,244905,98,Follow-Up,44.91756,-93.2469
17245,CARBONES PIZZA ON THE PARKWAY,04/15/2019,4705 CEDAR AVE S,LIC24555,303452,100,Follow-Up,44.91756,-93.2469
17246,ORIENT EXPRESS,01/18/2017,601 MARQUETTE AVE #204,LIC52821,63331,94,Routine,44.97686,-93.26995
17254,ORIENT EXPRESS,01/19/2018,601 MARQUETTE AVE #204,LIC52821,189652,94,Routine,44.97686,-93.26995
17265,ORIENT EXPRESS,01/10/2019,601 MARQUETTE AVE #204,LIC52821,241263,98,Routine,44.97686,-93.26995
17272,ORIENT EXPRESS,02/28/2018,601 MARQUETTE AVE #204,LIC52821,241264,100,Follow-Up,44.97686,-93.26995
17274,ORIENT EXPRESS,01/08/2020,601 MARQUETTE AVE #204,LIC52821,287858,84,Routine,44.97686,-93.26995
17289,MAMA SHEILA SOUL FOOD KITCHEN,11/27/2018,3744 BLOOMINGTON AVE,LIC350569,266413,58,Routine,44.93429,-93.25279
17321,MAMA SHEILA SOUL FOOD KITCHEN,12/17/2019,3744 BLOOMINGTON AVE,LIC350569,281119,80,Routine,44.93429,-93.25279
17341,MAMA SHEILA SOUL FOOD KITCHEN,02/06/2019,3744 BLOOMINGTON AVE,LIC350569,281120,92,Follow-Up,44.93429,-93.25279
17355,MAMA SHEILA SOUL FOOD KITCHEN,04/18/2019,3744 BLOOMINGTON AVE,LIC350569,299667,96,Follow-Up,44.93429,-93.25279
17364,MAMA SHEILA SOUL FOOD KITCHEN,05/21/2019,3744 BLOOMINGTON AVE,LIC350569,308749,90,Follow-Up,44.93429,-93.25279
17375,MAMA SHEILA SOUL FOOD KITCHEN,06/26/2019,3744 BLOOMINGTON AVE,LIC350569,311531,96,Follow-Up,44.93429,-93.25279
17383,WILLIAMS UPTOWN PUB & PEANUT BAR,10/28/2017,2911 HENNEPIN AVE,LIC26898,17410,94,Routine,44.94954,-93.29787
17393,WILLIAMS UPTOWN PUB & PEANUT BAR,10/30/2018,2911 HENNEPIN AVE,LIC26898,231638,96,Routine,44.94954,-93.29787
17399,WILLIAMS UPTOWN PUB & PEANUT BAR,12/29/2017,2911 HENNEPIN AVE,LIC26898,231995,100,Follow-Up,44.94954,-93.29787
17400,WILLIAMS UPTOWN PUB & PEANUT BAR,10/30/2019,2911 HENNEPIN AVE,LIC26898,278077,100,Routine,44.94954,-93.29787
17406,CHEESE LOUISE,07/09/2019,4279 SHERIDAN AVE S,LIC377403,310181,98,Routine,44.92482,-93.31413
17409,GRAZE PROVISIONS AND LIBATIONS/GRAZE,09/24/2019,520 4TH ST N,LIC374996,328543,88,Routine,44.98493,-93.27707
17420,GRAZE PROVISIONS AND LIBATIONS/GRAZE,10/31/2019,520 4TH ST N,LIC374996,330405,94,Follow-Up,44.98493,-93.27707
17426,THE HIDEAWAY BURGER BAR,01/11/2017,219 MAIN ST SE,LIC42106,43125,84,Routine,44.98464,-93.25398
17446,THE HIDEAWAY BURGER BAR,01/05/2018,219 MAIN ST SE,LIC42106,188903,96,Routine,44.98464,-93.25398
17452,THE HIDEAWAY BURGER BAR,03/15/2017,219 MAIN ST SE,LIC42106,190586,96,Follow-Up,44.98464,-93.25398
17458,THE HIDEAWAY BURGER BAR,01/11/2019,219 MAIN ST SE,LIC42106,237390,94,Routine,44.98464,-93.25398
17468,THE HIDEAWAY BURGER BAR,02/08/2019,219 MAIN ST SE,LIC42106,287789,98,Follow-Up,44.98464,-93.25398
17471,THE HIDEAWAY BURGER BAR,01/08/2020,219 MAIN ST SE,LIC42106,287788,92,Routine,44.98464,-93.25398
17482,GEEK LOVE CAFE,10/25/2018,3032 MINNEHAHA AVE,LIC354309,276916,92,Routine,44.94723,-93.23397
17488,GEEK LOVE CAFE,10/24/2019,3032 MINNEHAHA AVE,LIC354309,277473,94,Routine,44.94723,-93.23397
